last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Contreras, Willson,575929,112,CHC,C,24,128,4.23,28.3
Fryer, Eric,518700,134,PIT,C,31,52,4.25,28.2
Schebler, Scott,594988,113,CIN,RF,26,108,4.26,28.2
Blanco, Grégor,453923,137,SF,RF,33,99,4.21,28.2
Kelly, Ty,571841,121,NYM,LF,28,22,,28.2
Rosales, Adam,489267,135,SD,3B,33,60,4.34,28.2
Schimpf, Ryan,572114,135,SD,2B,28,79,4.27,28.2
Herrmann, Chris,543302,109,ARI,C,29,56,4.16,28.2
Ortega, Rafael,542364,108,LAA,LF,25,100,4.22,28.2
Fuentes, Rey,571681,118,KC,RF,25,23,,28.2
Upton, B.J.,425834,141,TOR,LF,32,173,4.40,28.2
Fowler, Dexter,451594,112,CHC,CF,30,200,4.27,28.2
Kepler, Max,596146,142,MIN,RF,23,167,4.22,28.2
Almora Jr., Albert,546991,112,CHC,CF,22,59,4.36,28.1
Gregorius, Didi,544369,147,NYY,SS,26,229,4.23,28.1
Freeman, Mike,502273,136,SEA,,29,11,,28.1
Rendon, Anthony,543685,120,WSH,3B,26,202,4.25,28.1
Iribarren, Hernan,454975,113,CIN,CF,32,25,4.24,28.1
Crisp, Coco,424825,114,CLE,LF,37,178,4.29,28.1
Beckham, Tim,542921,139,TB,SS,26,74,4.30,28.1
Puig, Yasiel,624577,119,LAD,RF,26,155,4.31,28.1
Peralta, David,444482,109,ARI,RF,29,75,4.26,28.1
Torreyes, Ronald,591720,147,NYY,3B,24,93,4.30,28.1
Bourn, Michael,456422,110,BAL,CF,34,165,4.09,28.1
Pillar, Kevin,607680,141,TOR,CF,27,240,4.29,28.1
Tomlinson, Kelby,605509,137,SF,2B,26,54,4.18,28.1
Heisey, Chris,502317,120,WSH,LF,32,40,4.36,28.1
Burriss, Emmanuel,502034,143,PHI,,31,16,,28.1
Mahtook, Mikie,543484,139,TB,CF,27,53,4.36,28.1
Correa, Carlos,621043,117,HOU,SS,22,225,4.26,28.1
Cunningham, Todd,592239,108,LAA,LF,27,13,,28.1
Romine, Andrew,461865,116,DET,CF,31,81,4.34,28.1
Villar, Jonathan,542340,158,MIL,SS,25,257,4.18,28.0
Jones, Adam,430945,110,BAL,CF,31,235,4.40,28.0
Aviles, Mike,449107,116,DET,RF,35,76,4.35,28.0
Barnes, Brandon,488681,115,COL,LF,30,38,4.28,28.0
Weeks, Jemile,457789,135,SD,2B,29,21,,28.0
Jackson, Austin,457706,145,CWS,CF,29,64,4.42,28.0
Myers, Wil,571976,135,SD,1B,26,249,4.35,28.0
Ozuna, Marcell,542303,146,MIA,CF,26,230,4.39,28.0
Núñez, Eduardo,456488,137,SF,3B,29,255,4.16,28.0
Betts, Mookie,605141,111,BOS,RF,24,310,4.23,28.0
Severino, Pedro,600474,120,WSH,C,23,16,4.19,28.0
Buss, Nick,502544,108,LAA,LF,30,34,4.30,28.0
Rasmus, Colby,458675,117,HOU,LF,30,86,4.34,28.0
Arcia, Oswaldo,542455,135,SD,RF,25,63,4.27,28.0
Guyer, Brandon,446386,114,CLE,LF,30,129,4.39,27.9
Harrison, Josh,543281,134,PIT,2B,29,197,4.23,27.9
Muncy, Max,571970,133,OAK,2B,26,49,4.29,27.9
Eibner, Brett,518649,133,OAK,RF,28,80,4.38,27.9
Ellsbury, Jacoby,453056,147,NYY,CF,33,243,4.29,27.9
Reimold, Nolan,460099,110,BAL,LF,33,72,4.39,27.9
Duffy, Matt,622110,139,TB,3B,25,157,4.38,27.9
Ramírez, José,608070,114,CLE,3B,24,316,4.24,27.9
Rua, Ryan,607387,140,TEX,LF,26,88,4.46,27.9
Reynolds, Matt,608703,121,NYM,SS,26,39,4.48,27.9
Parker, Jarrett,592620,137,SF,RF,27,51,4.28,27.9
Gillespie, Cole,502261,146,MIA,,32,16,,27.9
Grossman, Robbie,543257,142,MIN,LF,27,114,4.29,27.8
Span, Denard,452655,137,SF,CF,32,283,4.29,27.9
Sánchez, Yolmer,570560,145,CWS,2B,24,55,4.28,27.9
García, Leury,544725,145,CWS,CF,25,23,4.10,27.8
Martinez, Michael,492841,114,CLE,2B,34,45,4.22,27.8
Inciarte, Ender,542255,144,ATL,CF,26,269,4.12,27.8
Sanó, Miguel,593934,142,MIN,3B,23,117,4.51,27.8
Suzuki, Ichiro,400085,146,MIA,RF,43,176,3.99,27.8
Miller, Brad,543543,139,TB,SS,27,207,4.31,27.8
Brentz, Bryce,518490,111,BOS,LF,28,31,4.47,27.8
Dozier, Brian,572821,142,MIN,2B,29,203,4.27,27.8
Infante, Omar,408299,118,KC,2B,35,54,4.27,27.8
Aybar, Erick,430947,116,DET,SS,32,206,4.26,27.8
Collins, Tyler,607385,116,DET,CF,26,48,4.30,27.8
Smolinski, Jake,519295,133,OAK,CF,27,111,4.34,27.8
Frazier, Adam,624428,134,PIT,2B,25,64,4.23,27.8
Arcia, Orlando,606115,158,MIL,SS,22,95,4.37,27.8
Garcia, Greg,594824,138,STL,SS,27,98,4.22,27.8
Dickerson, Alex,543105,135,SD,LF,26,101,4.30,27.8
Young, Chris,455759,111,BOS,LF,33,62,4.34,27.8
Giavotella, Johnny,543213,108,LAA,2B,29,160,4.29,27.8
Santana, Danny,542454,142,MIN,CF,26,97,4.23,27.8
Reyes, José,408314,121,NYM,3B,33,98,4.19,27.8
Blackmon, Charlie,453568,115,COL,CF,30,230,4.20,27.7
Forsythe, Logan,523253,139,TB,2B,29,168,4.43,27.7
Pagán, Ángel,434636,137,SF,LF,35,205,4.17,27.7
Dietrich, Derek,518618,146,MIA,2B,27,163,4.23,27.7
Gose, Anthony,543238,116,DET,CF,26,33,4.18,27.7
Espinosa, Danny,457787,120,WSH,SS,29,135,4.28,27.7
Pinder, Chad,640461,133,OAK,2B,24,24,4.41,27.7
Blash, Jabari,518466,135,SD,RF,27,25,4.56,27.7
Swihart, Blake,596119,111,BOS,LF,24,24,,27.7
Weeks Jr., Rickie,430001,109,ARI,LF,34,69,4.29,27.7
Heyward, Jason,518792,112,CHC,RF,27,246,4.30,27.7
Cardullo, Stephen,506924,115,COL,1B,29,16,,27.7
Odor, Rougned,596059,140,TEX,2B,22,229,4.19,27.7
Hechavarría, Adeiny,588751,146,MIA,SS,27,217,4.36,27.6
Lough, David,518953,143,PHI,LF,30,29,4.23,27.6
De Aza, Alejandro,457477,121,NYM,CF,32,69,4.28,27.6
Jennings, Desmond,457775,139,TB,LF,30,76,4.34,27.6
Rivera, T.J.,608061,121,NYM,2B,28,50,4.34,27.6
Kemp, Tony,643393,117,HOU,LF,25,42,4.15,27.6
Campbell, Eric,493472,121,NYM,1B,29,26,4.49,27.6
Wong, Kolten,543939,138,STL,2B,26,127,4.18,27.6
