last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Giménez, Andrés,665926,2020,132,91,.263,.245,0.018,.398,.358,0.040,.321,.302,0.019
Reddick, Josh,502210,2020,210,147,.245,.245,0.000,.378,.358,0.020,.303,.302,0.001
Marte, Ketel,606466,2020,195,163,.287,.261,0.026,.409,.375,0.034,.316,.301,0.015
Polanco, Gregory,570256,2020,174,95,.153,.223,-0.070,.325,.418,-0.093,.230,.301,-0.071
Wendle, Joey,621563,2020,184,134,.286,.253,0.033,.435,.370,0.065,.335,.300,0.035
Gordon, Alex,460086,2020,184,126,.209,.230,-0.021,.307,.352,-0.045,.275,.300,-0.025
Luplow, Jordan,656669,2020,92,60,.192,.199,-0.007,.359,.362,-0.003,.293,.300,-0.007
Albies, Ozzie,645277,2020,124,88,.271,.240,0.031,.466,.417,0.049,.329,.299,0.030
Eaton, Adam,594809,2020,176,131,.226,.246,-0.020,.384,.387,-0.003,.287,.299,-0.012
Galvis, Freddy,520471,2020,159,111,.220,.219,0.001,.404,.358,0.046,.312,.299,0.013
Verdugo, Alex,657077,2020,221,157,.308,.238,0.070,.478,.369,0.109,.362,.298,0.064
Molina, Yadier,425877,2020,156,126,.262,.254,0.008,.359,.385,-0.026,.290,.298,-0.008
Goodwin, Brian,571718,2020,164,92,.215,.212,0.003,.417,.381,0.036,.305,.298,0.007
Tauchman, Mike,643565,2020,111,70,.242,.251,-0.009,.305,.321,-0.016,.286,.297,-0.011
Bell, Josh,605137,2020,223,140,.226,.228,-0.002,.364,.381,-0.017,.286,.297,-0.011
García, Luis,671277,2020,139,105,.276,.267,0.009,.366,.377,-0.011,.291,.296,-0.005
Renfroe, Hunter,592669,2020,139,86,.156,.191,-0.035,.393,.395,-0.002,.277,.296,-0.019
Peralta, David,444482,2020,218,160,.300,.258,0.042,.433,.371,0.062,.333,.295,0.038
Gosselin, Phil,594838,2020,102,65,.250,.238,0.012,.402,.359,0.043,.313,.295,0.018
Maybin, Cameron,457727,2020,101,68,.247,.238,0.009,.387,.372,0.015,.302,.295,0.007
Hampson, Garrett,641658,2020,184,111,.234,.229,0.005,.383,.388,-0.005,.290,.295,-0.005
Andrus, Elvis,462101,2020,111,88,.194,.234,-0.040,.330,.389,-0.059,.255,.295,-0.040
Schoop, Jonathan,570731,2020,177,125,.278,.242,0.036,.475,.386,0.089,.338,.294,0.044
Wolters, Tony,547172,2020,109,72,.230,.265,-0.035,.270,.346,-0.076,.249,.294,-0.045
Hoerner, Nico,663538,2020,126,86,.222,.241,-0.019,.259,.312,-0.053,.263,.294,-0.031
Engel, Adam,641553,2020,93,69,.295,.253,0.042,.477,.376,0.101,.347,.293,0.054
Kiner-Falefa, Isiah,643396,2020,228,180,.280,.260,0.020,.370,.340,0.030,.307,.293,0.014
Piscotty, Stephen,572039,2020,171,108,.226,.237,-0.011,.358,.398,-0.040,.273,.293,-0.020
Pujols, Albert,405395,2020,163,128,.224,.243,-0.019,.395,.394,0.001,.282,.293,-0.011
McMahon, Ryan,641857,2020,193,107,.215,.203,0.012,.419,.394,0.025,.308,.293,0.015
Fowler, Dexter,451594,2020,101,62,.233,.214,0.019,.389,.351,0.038,.310,.292,0.018
González, Erik,570481,2020,193,134,.227,.236,-0.009,.359,.394,-0.035,.262,.292,-0.030
Brinson, Lewis,621446,2020,112,76,.226,.247,-0.021,.368,.390,-0.022,.275,.292,-0.017
Kingery, Scott,664068,2020,124,79,.159,.214,-0.055,.283,.390,-0.107,.227,.292,-0.065
Wong, Kolten,543939,2020,208,154,.265,.241,0.024,.326,.311,0.015,.305,.291,0.014
Tapia, Raimel,606132,2020,206,150,.321,.251,0.070,.402,.331,0.071,.335,.290,0.045
Mazara, Nomar,608577,2020,149,92,.228,.222,0.006,.294,.364,-0.070,.267,.290,-0.023
White, Evan,657108,2020,202,99,.176,.190,-0.014,.346,.387,-0.041,.261,.290,-0.029
Hays, Austin,669720,2020,134,99,.279,.243,0.036,.393,.352,0.041,.315,.289,0.026
Hernández, Enrique,571771,2020,148,109,.230,.224,0.006,.410,.383,0.027,.290,.289,0.001
Frazier, Todd,453943,2020,172,115,.236,.221,0.015,.382,.363,0.019,.300,.288,0.012
Moncada, Yoán,660162,2020,231,130,.225,.206,0.019,.385,.334,0.051,.309,.288,0.021
Sandoval, Pablo,467055,2020,94,66,.214,.233,-0.019,.262,.343,-0.081,.252,.288,-0.036
Chavis, Michael,656308,2020,158,98,.212,.223,-0.011,.377,.388,-0.011,.272,.288,-0.016
Sogard, Eric,519299,2020,128,96,.209,.254,-0.045,.278,.309,-0.031,.254,.288,-0.034
